player_name,shot_type,fga,fgm,pps,fg_pct,rate
Kawhi Leonard,dunk,695,640,1.841726618705036,0.920863309352518,0.06475356377527253
Brandon Bass,dunk,684,629,1.8391812865497077,0.9195906432748538,0.13346341463414635
Theo Ratliff,dunk,661,628,1.9001512859304084,0.9500756429652042,0.15659796256811181
Nic Claxton,dunk,678,625,1.8436578171091444,0.9218289085545722,0.309024612579763
Dwight Powell,dunk,696,624,1.793103448275862,0.896551724137931,0.23868312757201646
Kelvin Cato,dunk,722,623,1.7257617728531855,0.8628808864265928,0.32581227436823107
Willie Cauley-Stein,dunk,706,621,1.7592067988668556,0.8796033994334278,0.24745881528215913
Antonio Davis,dunk,663,614,1.852187028657617,0.9260935143288085,0.11107388172223152
Trevor Ariza,dunk,652,614,1.883435582822086,0.941717791411043,0.0665170373393185
JJ Hickson,dunk,669,612,1.8295964125560538,0.9147982062780269,0.16494082840236687
Stromile Swift,dunk,718,611,1.701949860724234,0.850974930362117,0.19817830527187413
Andrew Bynum,dunk,635,611,1.9244094488188976,0.9622047244094488,0.18427161926871735
David Robinson,dunk,654,610,1.8654434250764527,0.9327217125382263,0.1418655097613883
Richaun Holmes,dunk,650,609,1.873846153846154,0.936923076923077,0.22935779816513763
DeMarcus Cousins,dunk,675,606,1.7955555555555556,0.8977777777777778,0.06801692865779928
Tobias Harris,dunk,647,595,1.839258114374034,0.919629057187017,0.05179314761447326
Elton Brand,dunk,620,591,1.9064516129032258,0.9532258064516129,0.04701956620658274
Donyell Marshall,dunk,630,585,1.8571428571428572,0.9285714285714286,0.07664233576642336
Andrew Wiggins,dunk,635,583,1.8362204724409448,0.9181102362204724,0.05421326730982669
Yao Ming,dunk,641,582,1.8159126365054603,0.9079563182527302,0.09945694336695113
Stephen Curry,3pt_all,9586,4056,1.2693511370749009,0.4231170456916336,0.5223124284858062
James Harden,3pt_all,8748,3175,1.0888203017832647,0.36294010059442156,0.47012037833190023
Ray Allen,3pt_all,7428,2973,1.2007269789983845,0.40024232633279483,0.39189616967394747
Damian Lillard,3pt_all,7555,2804,1.11343481138319,0.37114493712773,0.4560270417094223
Klay Thompson,3pt_all,6562,2697,1.233008229198415,0.4110027430661384,0.4804861975543677
LeBron James,3pt_all,7320,2559,1.0487704918032787,0.3495901639344262,0.23936431117360452
Kyle Korver,3pt_all,5713,2449,1.2860143532294765,0.42867145107649224,0.6158904700301854
