player_name,shot_type,fga,fgm,pps,fg_pct,rate
Sam Hauser,3pt_all,399,166,1.2481203007518797,0.41604010025062654,0.8417721518987342
Tyus Jones,3pt_all,401,166,1.2418952618453865,0.4139650872817955,0.5871156661786238
Desmond Bane,3pt_all,418,164,1.1770334928229664,0.3923444976076555,0.4106090373280943
Mikal Bridges,3pt_all,463,164,1.062634989200864,0.3542116630669546,0.39137785291631444
Shai Gilgeous-Alexander,3pt_all,435,163,1.1241379310344828,0.37471264367816093,0.26268115942028986
Quentin Grimes,3pt_all,421,162,1.154394299287411,0.3847980997624703,0.511543134872418
Tyrese Maxey,3pt_all,478,161,1.0104602510460252,0.3368200836820084,0.4381301558203483
Kevin Durant,3pt_all,372,160,1.2903225806451613,0.43010752688172044,0.3309608540925267
Cameron Johnson,3pt_all,408,159,1.1691176470588236,0.3897058823529412,0.5461847389558233
Fred VanVleet,3pt_all,461,159,1.03470715835141,0.34490238611713664,0.6073781291172595
Harrison Barnes,corner,205,97,1.4195121951219511,0.47317073170731705,0.3001464128843338
Mikal Bridges,corner,219,93,1.273972602739726,0.4246575342465753,0.18512256973795435
Malik Beasley,corner,167,88,1.5808383233532934,0.5269461077844312,0.15592903828197946
OG Anunoby,corner,216,82,1.1388888888888888,0.37962962962962965,0.2103213242453749
Taurean Prince,corner,173,78,1.3526011560693643,0.4508670520231214,0.33657587548638135
Tyus Jones,corner,149,71,1.429530201342282,0.47651006711409394,0.21815519765739386
Georges Niang,corner,161,66,1.2298136645962734,0.40993788819875776,0.25967741935483873
Nickeil Alexander-Walker,corner,137,65,1.4233576642335766,0.4744525547445255,0.2224025974025974
Zaccharie Risacher,corner,146,64,1.3150684931506849,0.4383561643835616,0.18741976893453144
Josh Green,corner,153,63,1.2352941176470589,0.4117647058823529,0.36342042755344417
Julian Champagnie,corner,152,62,1.2236842105263157,0.40789473684210525,0.22857142857142856
Brice Sensabaugh,corner,121,61,1.512396694214876,0.5041322314049587,0.2020033388981636
Klay Thompson,corner,156,60,1.1538461538461537,0.38461538461538464,0.17787913340935005
AJ Green,corner,112,59,1.5803571428571428,0.5267857142857143,0.2641509433962264
Ochai Agbaji,corner,144,59,1.2291666666666667,0.4097222222222222,0.2696629213483146
Royce O'Neale,corner,112,57,1.5267857142857142,0.5089285714285714,0.19649122807017544
Toumani Camara,corner,161,57,1.062111801242236,0.35403726708074534,0.22486033519553073
Jaylen Wells,corner,154,56,1.0909090909090908,0.36363636363636365,0.22781065088757396
Moses Moody,corner,128,55,1.2890625,0.4296875,0.22535211267605634
Dorian Finney-Smith,corner,125,54,1.296,0.432,0.28735632183908044
Obi Toppin,corner,120,54,1.35,0.45,0.2003338898163606
Keon Ellis,corner,108,54,1.5,0.5,0.23275862068965517
Derrick White,corner,123,53,1.2926829268292683,0.43089430894308944,0.12825860271115747
Johnny Juzang,corner,129,53,1.2325581395348837,0.4108527131782946,0.27157894736842103
Buddy Hield,corner,135,52,1.1555555555555554,0.3851851851851852,0.1717557251908397
Jaden McDaniels,corner,163,52,0.9570552147239264,0.31901840490797545,0.19544364508393286
Sam Hauser,corner,113,51,1.3539823008849559,0.45132743362831856,0.23839662447257384
